tweet_text,img_path,prediction,ground_truth,prediction_conf
"RT @4cast4you: Big flooding in Rosenberg, TX. #harvey (὏8: @EarthNetworks) https://t.co/EV1gtSGJt6",/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/27_8_2017/901800726795616256_0.jpg,1,1,0.93715006
My Harvey damage looks like a mutating Tetsuo from Akira https://t.co/vxQa0f0HwQ,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/16_9_2017/909135905063026688_0.jpg,0,0,0.9225457
"Harvey and Irma may have missed Louisiana, but we still could see insurance rates go up. https://t.co/hlMwPwPUJp https://t.co/Dr3m3AEO1p",/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/15_9_2017/908674197328670721_0.jpg,0,0,0.7887013
My Harvey damage looks like a mutating Tetsuo from Akira https://t.co/vxQa0f0HwQ,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/16_9_2017/909135905063026688_1.jpg,0,0,0.8694919
Hard times can bring people together. I stand with the affected Harvey victims of Texas https://t.co/Ocbfzt7Tzq,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/8_9_2017/906107025876287488_0.jpg,1,1,0.91961855
RT @WPLGLocal10: Hurricane Irma damages Catholic church in Big Pine Key https://t.co/PpCcJP9EPY https://t.co/HDaJ4nHlQ4,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909700593093976064_0.jpg,0,0,0.85306525
#HurricaneHarvey reminding us of Orkney 1952/3 storms https://t.co/zfSbDKHHrO https://t.co/yoxxxwWYV0,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/4_9_2017/904651672873570304_0.jpg,1,1,0.8738777
A tiny town hit hard by Irma #USFWS #Irma #EvergladesCity https://t.co/SQPlzbkYLo via @usfwssoutheast https://t.co/vQAVPk2pCP,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909761253006020613_3.jpg,0,0,0.93793327
The Real Story Behind the California Wildfires https://t.co/XeiklulgdS #CliffMassWeather https://t.co/scwySpDMU4,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/17_10_2017/920148140950413313_0.jpg,1,1,0.5772527
A Massive Earthquake Has Killed Hundreds In Iraq And Iran | NBC News https://t.co/bsyVNj5XqQ #NewInVids https://t.co/Zw2asEoF1i,/home/julian/datasets/crisis_mmd/data_image/iraq_iran_earthquake/13_11_2017/930181623043239938_0.jpg,1,1,0.9861979
Click HEREâ–¶ï¸https://t.co/TmuGDqOX3C #EU #News #EuropeUnion âž¡ï¸In pictures: California wine country wildfires https://t.co/U1CAFlBMqv,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/12_10_2017/918394689107226624_0.jpg,1,1,0.88839436
"Sewage, fecal bacteria in Hurricane Harvey floodwaters https://t.co/3tUZR9VTiG #breakingnews https://t.co/whhVc1ufy9",/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/3_9_2017/904221094143512576_0.jpg,1,1,0.9989048
Devastating Photos Show Wildfire's Toll on a California Cannabis Farm | Leafly https://t.co/DWDzoaPNmE https://t.co/0tj5qthgIU,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/15_10_2017/919684475990130689_0.jpg,0,0,0.67293245
"RT @sendnetwork: Following #Irma, Southern Baptist volunteers from Alabama to New York left home to serve! https://t.co/mzuCGmceIG",/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909763338514653184_0.jpg,0,1,0.919428
Cyclone MORA update https://t.co/AurxPx4Tgt https://t.co/8L85WRmXAx,/home/julian/datasets/crisis_mmd/data_image/srilanka_floods/2_6_2017/870570338723086337_0.jpg,1,1,0.8740332
@TheDoctorIsILL My house after Harvey. Lol. You never know.... https://t.co/BhRPPyIJAF,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/19_9_2017/909938076423675905_0.jpg,0,0,0.92994255
"HURRICANE MARIA 185 MPH WINDS, FOOTAGE, DAMAGE, CAUGHT ONÂ CAMERA https://t.co/BiiXN1MKA8 https://t.co/HubXneUA1I",/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/28_9_2017/913437245234978816_0.jpg,1,1,0.9959265
"California Wildfire Damages to Exceed $1 Billion, Exacerbates Housing Crisis https://t.co/bqMp6M0mQb https://t.co/fHqFREZPoY",/home/julian/datasets/crisis_mmd/data_image/california_wildfires/24_10_2017/922830395548172288_0.jpg,1,1,0.8242575
Dodged a lot of fallen trees on this morning's detour #IRMA https://t.co/DCVc18wUbs,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/19_9_2017/910169542718091265_1.jpg,0,0,0.93219995
On today's PNS newscast: deadly wildfires ravage Northern California. Listen now: https://t.co/wgmKAIWUiI https://t.co/BApQhkb51r,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/10_10_2017/917797763282214913_0.jpg,1,1,0.9251501
"Heavy flooding, landslides have affected some 684,000 people in south &amp; central #SriLanka https://t.co/3VqgVznVEv https://t.co/F5uPmn0Ws1",/home/julian/datasets/crisis_mmd/data_image/srilanka_floods/6_6_2017/872076035726204929_0.jpg,1,1,0.87475955
Hurricane Maria Could Threaten North Carolina Later This Week - Bloomberg https://t.co/QAZA4eQYM0 @greensboro_nc https://t.co/uTbIqcuJyc,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/24_9_2017/911956417937944576_0.jpg,0,0,0.77935517
Irma you suck #irma https://t.co/etPbEFGCZZ,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/17_9_2017/909475867587436544_0.jpg,0,0,0.9717566
.@Potus approves federal #disasterdeclaration for #NorCal #wildfires: https://t.co/TQw7P0M05Y https://t.co/T9uUeC4s9u,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/17_10_2017/920379194823053312_0.jpg,1,1,0.9870466
Workers restoring thousands of miles of power lines in Puerto Rico https://t.co/eFtiqzIewY https://t.co/zAHhpwvd1w,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/24_10_2017/922911846457364481_0.jpg,1,1,0.9340059
Mexico earthquake 8.3 on RichterÂ scale https://t.co/48TuZ8qJGu https://t.co/IDE16MxWys,/home/julian/datasets/crisis_mmd/data_image/mexico_earthquake/25_9_2017/912466253150851073_0.jpg,1,1,0.99642855
Please Support @TampaQuality We Need Help!!FL Rebuild After IRMA! #Weneedhelpfl Donate Here -… https://t.co/1nMiMvAlOH,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909716157153910784_0.jpg,1,1,0.7432747
Artist Clifford Raineyâ€™s studio after California fire. https://t.co/iSUP2OihHn https://t.co/vzCW3g5Qr4,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/25_10_2017/923151215231426560_0.jpg,1,1,0.9916231
Finally finished with walls! Now on to sorting losses #Harvey #HoustonStrong #NewSeason https://t.co/Sscz9aDQLl,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/15_9_2017/908566528898895872_1.jpg,0,0,0.917521
Trump's disgusting failure just gets worse and worse. People are dying. Here's how YOU canâ€¦ https://t.co/ZhW2VjB4Qj https://t.co/HnScp8KttZ,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/5_11_2017/927182978379284486_0.jpg,1,1,0.9991879
#Mangroves help to naturally build up the land &amp; buffer the coast against rising seas-Great story @washingtonpost… https://t.co/IM2JiXcdQU,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909804011838218241_0.jpg,1,1,0.9984969
#GOZone: Putting #NMTC to work to rebuild after #Harvey #Irma @CDFIFund #MakeNMTCPermanent https://t.co/UII6Qo23Gw https://t.co/mngkiK3eIQ,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/18_9_2017/909830129538490368_0.jpg,1,1,0.99743783
Thoughts &amp; Prayers for our brothers &amp; sisters effected by #earthquake at Iran-Iraq border area. #EarthQuakeIraq https://t.co/5pNBSnC9mN,/home/julian/datasets/crisis_mmd/data_image/iraq_iran_earthquake/13_11_2017/930057942426181632_0.jpg,1,1,0.9917116
Dozens of companies are stepping up to send large dollar donations to Puerto Rico. https://t.co/QYPe8wCGJZ https://t.co/NMcIwtuLow,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/30_9_2017/914240939974991872_0.jpg,1,1,0.6002695
"#EuropeanUnion donates â‚¬300,000 to aid families affected by #SriLanka floods https://t.co/DQ9Yrq2nZC #top #news https://t.co/519z7D5n0A",/home/julian/datasets/crisis_mmd/data_image/srilanka_floods/2_6_2017/870553882992164864_0.jpg,1,1,0.99998975
Trump actively participating in #HurricaneHarvey rescue efforts. #nowthatsapresident https://t.co/ZVyiIBcoGk,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/7_9_2017/905766482503663617_0.jpg,1,1,0.9700636
This photo though of a man riding his bicycle through a damaged road in San Juan following Hurricane Maria. https://t.co/n2WjtzYhzu,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/30_9_2017/914159730158735360_0.jpg,1,1,0.9965978
"Losses From California Wildfires Top $1 Billion, Expected to Rise 'Dramatically' https://t.co/u01pB7Vpyy https://t.co/Skr5jgG7WZ",/home/julian/datasets/crisis_mmd/data_image/california_wildfires/20_10_2017/921459303453569024_0.jpg,1,1,0.9889425
"As Houston-Area Suburbs Wait For Harvey To Blow Over, Temporary Fixes Abound https://t.co/2EXYZQvD49 https://t.co/J2NMNN9UDl",/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/27_8_2017/901701705909231616_0.jpg,0,0,0.7680413
RT @fox5ny: BREAKING: #Mexico civil defense chief lowers number of confirmed dead in #earthquake to 217. (AP) https://t.co/wHis3YwNZ0,/home/julian/datasets/crisis_mmd/data_image/mexico_earthquake/21_9_2017/910764633811816449_0.jpg,1,1,0.9811211
Catholic dairy farmer fears Puerto Rico’s milk industry may be decimated https://t.co/5eO5KcjZ7b https://t.co/hgSwKbnZ2j,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/24_10_2017/922895396027944961_0.jpg,1,1,0.99451256
Why the California wildfires have spread so quickly: https://t.co/nrMDMAy9bP https://t.co/UzDZLSPo9F,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/19_10_2017/921092798371131393_0.jpg,1,1,0.9703784
Hurricane Maria: Buhari orders evacuation of Nigerian students in Dominican Island https://t.co/im2RUSsH7u https://t.co/IwGjSJUu5w,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/25_9_2017/912356894966153217_0.jpg,1,1,0.98212564
Hurricanes dent oil output as Saudi Arabia cuts supplies https://t.co/wOdfMzeF5A https://t.co/MmHNrQsONE,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/10_9_2017/906772360002523136_0.jpg,0,0,0.9020231
"Hurricane Maria ripped through Puerto Rico, causing potentially billions in damage https://t.co/S10u8pq3QT https://t.co/uu33HiAroU",/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/20_9_2017/910559806334881792_0.jpg,0,0,0.94726205
@donttrythis Irma knocked a lot of trees down on powerlines.I've not had power for a week. https://t.co/uLdoUe2aRY,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/17_9_2017/909486151760777216_0.jpg,0,0,0.9470016
"@SenKamalaHarris, N.California, Wildfires Aftermath, TRUTHá¼¸3â˜»á½F https://t.co/TSt6fVmxV4",/home/julian/datasets/crisis_mmd/data_image/california_wildfires/24_10_2017/922889441017987072_0.jpg,1,1,0.99905676
Hurricane Irma's stench leaves residents holding their noses https://t.co/rNxai0ez2b https://t.co/n8oEGgw5Qk,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/19_9_2017/910260829324324864_0.jpg,0,0,0.6933011
#RakeItInSweepstakes help my daughter recover from Hurricane Harvey. https://t.co/A82LW3GLV8,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/10_9_2017/906964358177214466_0.jpg,1,1,0.97640425
"Fire in Lower Lake, California. (AP/Kent Porter) https://t.co/wan8S4hJYJ",/home/julian/datasets/crisis_mmd/data_image/california_wildfires/20_10_2017/921193817251962880_0.jpg,1,1,0.95541435
Up Now What lenders are doing to help storm-hit homeowners https://t.co/7HsM8iCXd1 via @AJBCSurveys #surveys #paid https://t.co/iKRDvXAI5j,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/18_9_2017/909878550068645888_0.jpg,1,1,0.995846
Preliminary #Irma damage in Nassau County: $9 million. Financial help at 800-621-3362 or https://t.co/s1ApgywclQ https://t.co/1bRHUD9flt,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909919169319260160_0.jpg,0,0,0.95283556
Incredible #Irma-themed front-page from @TB_Times. https://t.co/WDe3qaJ12Y,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/17_9_2017/909419750253645830_0.jpg,1,1,0.91975045
Likely tornado - Umatilla... https://t.co/gsTL2g4s8m,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/10_9_2017/907029678304714753_0.jpg,1,1,0.6285502
#Hotels #Destroyed by Killer #California #Wildfires https://t.co/Z6DqybUpqi #event #meeting #planner https://t.co/vFclzDzTxz,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/16_10_2017/919935983314984960_1.jpg,1,1,0.7843395
LA News Biggest California Wildfires of All Time https://t.co/gZzDCxhVXD https://t.co/ZlTrWwlaOq,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/10_10_2017/917820061758263296_0.jpg,1,1,0.83895576
How do you deal with the hovering anxiety after experiencing a trauma like Hurricane Irma? https://t.co/XjPned12gG https://t.co/9oyYTcIw1g,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909862843947868160_0.jpg,0,0,0.951889
#California residents say they didn't receive #emergency #wildfire alerts https://t.co/tGeclfQmMO https://t.co/riDKOjV7gV,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/17_10_2017/920159942870470656_0.jpg,1,1,0.94043154
comunal: taller de arquitectura reports from mexico in the wake of devastating earthquakes https://t.co/2EW0iPdp3e https://t.co/6QDkZAxNau,/home/julian/datasets/crisis_mmd/data_image/mexico_earthquake/30_9_2017/913965634437992448_2.jpg,1,1,0.61004955
Rookeries take a hit from Harvey https://t.co/erVqcVOoe3 https://t.co/AFJeBjic7h,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/17_9_2017/909220520461180928_0.jpg,0,0,0.76689726
"Amazing photo of neighborhood post-wildfire, from https://t.co/QpbhYIgSDk https://t.co/0eY6Xri4RK",/home/julian/datasets/crisis_mmd/data_image/california_wildfires/17_10_2017/920407758603735040_0.jpg,1,1,0.97728056
RT @TheStalwart: These photos coming out of California are unreal https://t.co/9L5hoKF1VP https://t.co/1JqXEaDzjb,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/12_10_2017/918315972976631808_0.jpg,1,1,0.9009064
I give myself an A+ for how well we have handled Puerto Rico - fake 45th Pres #nullify2016 https://t.co/4OgecUlTCy,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/24_10_2017/922664032187793408_0.jpg,1,1,0.86805975
A closer look into #Houston's risk probability and #Resilience data https://t.co/7XKmHAdjqW #Hurricane #Harvey https://t.co/YlNna2YOcN,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/8_9_2017/906002921350979584_0.jpg,1,1,0.99999595
"Some memes are real fixer-uppers, like this one trying to make #Harvey about Obama... https://t.co/3j4FoWJiHT",/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/4_9_2017/904701869322317824_0.jpg,1,1,0.95093906
Hurricane Maria did some flooding in stthomas https://t.co/S8KXUfcWPW,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/20_9_2017/910571114803363840_1.jpg,0,0,0.9451821
What was left from the California wildfire.... amazing. https://t.co/vjisUdc5OZ,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/15_10_2017/919602818910179328_0.jpg,1,1,0.97454834
"How to track the ongoing fallout from Hurricane Harvey, by @alexismadrigal https://t.co/VrgwuiK5ds https://t.co/nUisXSk3hS",/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/3_9_2017/904256691939762176_0.jpg,1,0,0.8167817
Gas explosion fills Mexico City sky with fire following earthquake https://t.co/lSAzEjWYEt https://t.co/5ZQamtqwL4,/home/julian/datasets/crisis_mmd/data_image/mexico_earthquake/20_9_2017/910537194237870085_0.jpg,1,1,0.91387373
Hurricane Maria Live Updates: Catastrophic Flooding in Puerto Rico https://t.co/Ws9BoIALdc https://t.co/azFOpKPAYe,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/21_9_2017/910783579751419904_0.jpg,1,1,0.9964902
#Hurricanes #Irma &amp; #Harvey: #Leading Your Business In the Aftermath Of Disaster https://t.co/SyWwZuKRFZ #Leadership https://t.co/QAuFJJbL66,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/17_9_2017/909417984124506112_0.jpg,0,0,0.8051023
Hurricane Irma damage considerable - Macron https://t.co/HUjWoJthqv https://t.co/5Kb1i9bhn9,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/7_9_2017/905647872175104001_0.jpg,0,0,0.85306734
RT @will__grant: Canals instead of streets in Havana's Vedado district. #Irma https://t.co/tqckhIaFQd,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/10_9_2017/906927330555305984_0.jpg,1,1,0.9916562
Our boardwalk through the Cypress tree preserve sustained heavy damage from #Irma ὢD. We will rebuild. @LeeSchools https://t.co/MnyF000pjG,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909888420905930754_1.jpg,0,0,0.8188725
Some shit from Irma. https://t.co/dpKSmfteTO,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/17_9_2017/909481301274587136_3.jpg,0,0,0.8942303
Elon Musk says Tesla's batteries could replace Puerto Rico's electrical system (TSLA) https://t.co/YrOzdT4lc1 #tech https://t.co/Afh07denqr,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/5_10_2017/916019554161016832_0.jpg,1,1,0.97751564
#Irma causing street flooding near intracoastal in #westpalmbeach @WPBF25News https://t.co/oOLysSa6Nj,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/10_9_2017/906927969171656705_0.jpg,0,0,0.8689145
"One of my best friends in her ""home"" #HurricaneHarvey #portaransas #texas #harveythehomewrecker #portastrong #PortA https://t.co/y33Z12IIi0",/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/10_9_2017/906779124454354945_0.jpg,0,0,0.95080775
"Terrifying photos show deadly wildfires rampaging across California, fed by wicked winds - â€¦ https://t.co/BFA7TL5zPO https://t.co/fT0flkqMEO",/home/julian/datasets/crisis_mmd/data_image/california_wildfires/10_10_2017/917828952533716994_0.jpg,1,1,0.9952554
From the AP archives: Storm Surge &amp;Â Erosion inÂ Outer Banks From Maria https://t.co/MAZNOJmGss https://t.co/Q2Ubc13tfp,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/2_10_2017/914937344981159936_0.jpg,0,0,0.85319453
Buffalo Bayou Cleanup Moves Forward After Hurricane Harvey https://t.co/VNDq6ZXDYx https://t.co/PQ3wlFlW30,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/11_9_2017/907288972459732992_0.jpg,1,1,0.99167824
"Hurricanes Irma and Harvey Will Slow, But Won&amp;apos;t Topple, U.S. GDP â€“Â Goldman https://t.co/bfxIcMyUgJ https://t.co/MJl9ytNUFe",/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/12_9_2017/907547988872056833_0.jpg,1,1,0.9981364
WWD - Hurricane Maria’s Aftermath Could Last a Month and Keep Retail Shut Down https://t.co/cGe7zg64L4 https://t.co/5WXotrnRDp,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/29_9_2017/913903407718690816_0.jpg,1,0,0.7721586
"California wildfires blanket region in smoky pollutants, raising health risks https://t.co/V4KX0kF7y6 https://t.co/NM5hw5LpkX",/home/julian/datasets/crisis_mmd/data_image/california_wildfires/16_10_2017/920045440594268160_0.jpg,1,1,0.5268246
"RT @MirrorPolitics: Tax tycoons could pay Hurricane Irma bill, says John Prescott https://t.co/oSvJqiBsUt https://t.co/8xOlSQa1yS",/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/17_9_2017/909396171235487745_0.jpg,1,1,0.99730814
Post Irma pics. https://t.co/snfsTR3Nkp,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909914772816179201_0.jpg,0,0,0.9388349
Florida had its flag with #Irma. Texas had its flag with #Harvey. @Whataburger @Publix https://t.co/5MoyN6TQQP,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/11_9_2017/907082290341318656_0.jpg,1,1,0.87242335
WATCH: Skater's video shows California neighborhood before and after wildfire - https://t.co/yuu7tjd8ur https://t.co/8FvcvpzPH5,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/25_10_2017/923141184331100160_0.jpg,1,1,0.6982683
Hurricane Maria spared no logos https://t.co/mOgcgMZFVx,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/2_10_2017/914871738722390016_1.jpg,0,0,0.89305514
(The human tragedy of Mexico's 1985 earthquake Video) #latest #news #followback - https://t.co/gqG0Zm1gDK https://t.co/yt3pY6cwSA,/home/julian/datasets/crisis_mmd/data_image/mexico_earthquake/20_9_2017/910524364327718919_0.jpg,1,1,0.9185906
KAPPA MEN UNITE IN PRAYER for victims of Hurricanes Harvey/Irma. NUPES check your email now for details. https://t.co/nGzikj0kmY,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/10_9_2017/907025098024071168_0.jpg,1,0,0.54039717
Northern #California #wildfires claim more lives as massive blaze spreads (VIDEOS) https://t.co/TNPNjwoUhe https://t.co/F0Vn2B1kRF,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/10_10_2017/917864819994263553_0.jpg,1,1,0.97695106
RT @KPRC2: Debris piled high in Houston neighborhoods following Harvey flooding https://t.co/mOxjNNuU8N #kprc2 https://t.co/H6TC15Zebq,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/14_9_2017/908413488376238080_0.jpg,0,0,0.8829201
"#health #beauty Buy Now: $400 bronkaid 60, 6 boxes, 180 tablets total Please Hur... https://t.co/Lfaf9Wr3ed https://t.co/ImqwEPm2vT",/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/14_9_2017/908344663698001922_3.jpg,0,0,0.954229
RT @SunSentinel: South Florida businesses launch Hurricane Harvey relief efforts https://t.co/PZ1njXO6uh https://t.co/CBryGSKMCo,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/4_9_2017/904802599219625985_0.jpg,1,1,0.9969375
Tracking Harvey: Storm continues to weaken as relief efforts gain momentum https://t.co/D1o2X0ewsk https://t.co/6kiyfZQGUF,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/27_8_2017/901764023464726528_0.jpg,0,0,0.90100384
Northern California wine country has been devastated as a series of dangerous fires continue https://t.co/ysDik8R5kU https://t.co/QhzeANJzAz,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/16_10_2017/919729752835022848_0.jpg,1,1,0.9864395
Live Update Video- Hurricane Maria Hits Puerto Rico With Heavy Storms Knocking Out Power https://t.co/hX2fvjPs1Q https://t.co/nbXIhBVMaP,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/20_9_2017/910586721246486528_0.jpg,0,0,0.8467939
Drone footage of a mailman delivering mail after California wildfires: https://t.co/1JEsCZdepg https://t.co/8sLiHQKgRD,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/23_10_2017/922546984728145920_0.jpg,1,1,0.99923193
Here’s How You Can Help People Affected By Hurricane Maria https://t.co/Yg4QLXvzx0 https://t.co/HFiFpy8mTU,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/24_9_2017/911869898703474689_0.jpg,1,1,0.99587554
